"listingId","color","fullBlood","enoblement","sire","dam"
"buck-001","Black with white trim","Full Blooded","Ennobled, 12 pts","Hillside Titan","Maple Grove Rose"
"buck-002","Red","Percentage","8 pts","Red Oak Chief","Valley Ember"
"buck-003","Chamoisee","Full Blooded","Pending enoblement","Pine Summit Valor","Oak Hollow Elise"
"buck-004","Sundgau","Percentage","4 pts","Cedar View Ranger","Blue Creek Nora"
"buck-005","Bay","Full Blooded","Ennobled, 6 pts","Summit Legend","Willow Bend Hazel"
"buck-019","BLACK DAPPLE","Full Blooded","*ENNOBLED*","(10864706) TALL TOWERS RANCH 'BACK TO BLUE'","(10897710) 2CCB 8 BALLS TRIPLE B"
"buck-020","PAINT","Full Blooded","*ENNOBLED*","(10564551) NATS RUMBLEBEE","(10591097) 2BBT PEPPERMINT"
"buck-021","RED/WHITE DAPPLED","Full Blooded","*ENNOBLED*","(10677770) LK7 LUCKY DOG","(10713950) JAD SRB SMOKIN'S POT O' FIRE"
"buck-022","BLACK","Full Blooded","*ENNOBLED*","(I-10501920) ROWDY MTNS. RED HOLLER HITMAN 529","(10522588) ROSE HILLSIDE DARK SIDE"
"buck-023","TRADITIONAL","Full Blooded","*ENNOBLED*","(10269132) RRD RUGER T307","(10290476) EGGS T351"
"buck-024","BLACK DAPPLE","Full Blooded","","(10548333) LAZY S-T COPPERTOX","(10549992) JRB3 SPOOK"
"buck-025","PAINT","Full Blooded","*ENNOBLED*","(10420080) BACK 2 NATURE POLAR EXPRESS","(10424409) S G R KEY TO MY HEART"
"buck-026","RED DAPPLE","Fullblood","","(10882661) 2M BOER GOATS NIGHT EDITION","(10798241) FNHR CRACKERJACK"
"buck-027","RED AND WHITE DAPPLE","Fullblood","*ENNOBLED*","(10802432) 2M BOER GOATS REDHAWK","(10824261) STONE-LEADY DEVILS SMOKIN JADE"
"buck-028","RED","Fullblood","*ENNOBLED*","(10740145) SHEPHERD CREEK NASTY HABIT","(10787921) TJ97 THOUGHTFUL DECISION"
"buck-029","CORRECT","Fullblood","","(10864519) 4-L BOER GOATS THOR","(10868811) BMACK 801"
"buck-030","DAPPLED","Fullblood","","(10745729) KMBG1 OUTCAST","(10842224) BLAC SWEET PEACH"
"buck-031","TRAD","Fullblood","","(10799655) 2M BOER GOATS TROUBLE","(10786708) 2M BOER GOATS ADDICTION"
"buck-032","RED","Fullblood","","(10856138) CNWT ADDICTED TO SPEED","(10889458) CNWT NEWTON BOERS BUCKLE BUNNY"
"buck-033","TRAD","Fullblood","","(10810844) ADVBG BRAVO","(10878254) 0913 HW FARMS MS. PARKER"
"buck-034","TRAD","Fullblood","","(10799655) 2M BOER GOATS TROUBLE","(10786708) 2M BOER GOATS ADDICTION"
"buck-035","Red Paint","Fullblood","*ENNOBLED*","(10956568) KCEC JCKN REBEL YELL","(10848996) JCKN AMERICAN GIRL"
"buck-036","BLACK PAINT","Fullblood","*ENNOBLED*","(10787897) TST1 WINDY ACRES REGAL MIDNIGHT TRAIN","(10814671) REGEL MONKEY SEE"
"buck-037","PAINT","Fullblood","*ENNOBLED*","(10775798) 2M BOER GOATS JIM BEAM","(10786552) 2M BOER GOATS CALIENTE"
"buck-038","PAINT","Fullblood","*ENNOBLED*","(10799655) 2M BOER GOATS TROUBLE","(10786708) 2M BOER GOATS ADDICTION"
"buck-039","BROWN DAPPLE","Fullblood","","(10854180) OCRB 1934 BLACK MAMBA","(10740731) MISG ANNIE OAKLEY"
"buck-040","BLACK","Fullblood","","(10882671) 2M BOER GOATS NIGHT RIDER","(10882654) 2M BOER GOATS BLACKBERRY WINE"
"buck-041","CORRECT","Fullblood","*ENNOBLED*","(10742828) TST1 WINDY ACRES TRUMP TRAIN","(10780916) PCSG A DASH OF DESIGN"
"buck-042","CORRECT","Fullblood","*ENNOBLED*","(10775798) 2M BOER GOATS JIM BEAM","(10843951) REGEL LOOKIN AT LUCKY"
"buck-043","SPOTTED","Fullblood","","(10749909) JAD SRB LUCKY&#39;S COPPER TIME","(10745758) KMBG1 IVANKA"
"buck-044","CORRECT","Fullblood","*ENNOBLED*","(10755044) 8881 DBL-D ROCK IT G30","(10796589) 8881 DBL-D D78 SIMPLY AMAZIN H11"
"buck-045","RED","Fullblood","*ENNOBLED*","(10904091) 2M BOER GOATS RIVER RAT","(10882651) 2M BOER GOATS REBELLIOUS LOVE"
"buck-046","correct","Fullblood","*ENNOBLED*","(10841211) REGEL TRUMP MY RECORD","(10794670) TST1 WINDY ACRES STRIKE MY FANCY"
"buck-047","TRADITIONAL","Fullblood","*ENNOBLED*","(10790024) TRIPLE M RANCH DOC HOLIDAY","(10749283) 2MBG ACE&#39;S SPOT ON"
"buck-048","RED","Fullblood","","(10665551) 2M ACE IN THE HOLE","(10691478) KG113 SOUTHERN MIRACLE"
"buck-049","TWO-TONED HEAD AND NECK WITH RED HIP","Fullblood","","(10714837) HOBBY TAKE FLIGHT F1640","(10757408) AABG NBD RASPBERRY TART"
"buck-050","DAPPLE PAINT","Fullblood","*ENNOBLED*","(10823667) SHOW ME BOERS SEMPER FI","(10779960) STONE-LEADY PLAY EASY WITH ME"
"buck-051","Traditional","Fullblood","","(10909640) RW1 LAST CALL","(10916205) RMA2 IN STYLE"
"buck-052","TRADITIONAL","Fullblood","*ENNOBLED*","(10804414) ALEXY MADI BIG BANK","(10695408) NEWTON FARMS OLIVIA E033"
"buck-053","CORRECT","Fullblood","*ENNOBLED*","(10674397) AABG OUTLANDISH","(10753250) 2M BOER GOATS MOON SHINE"
"buck-054","Red Paint","Fullblood","*ENNOBLED*","(10846848) CAPRIOLE&#39;S TELLUM I&#39;M RICH","(10844873) MADI PAINTED PIZZAZZ"
"buck-055","BROWN TRADITIONAL","Fullblood","","(10834991) 2M BOER GOATS JAMESON WHISKEY","(10875595) ERL WAITIN ON A WOMAN"
"buck-056","TRADITIONAL","Fullblood","","(10874280) ACR NEW MEXICO BRUTUS","(10723242) BOOT JACK BOERS BAMBIE 51E"
"buck-057","TRADITIONAL","Purebred","*ENNOBLED*","(10733612) KMAR GET BACK JACK","(10730200) RJOY DAHLILA 2"
"buck-058","TRADITIONAL","Fullblood","","(10775455) BEAR CREEK BC G1068 HARAMBES DREAM MAKER","(10803494) BOOT JACK BOERS SEE NORA 02J"
"buck-059","TRADITIONAL","Fullblood","*ENNOBLED*","(10501211) BL2 LANPHIER VAQUERO","(10861547) BOOT JACK BOERS LUCINDA 46K"
"buck-060","BLONDE HEAD","American","","(10925283) WILTON BOER GOAT RANCH EXTREME","(10743851) KBSG CHANDON"
"buck-061","RED","Fullblood","","(10761916) 2M BOER GOATS TANGO","(10740431) 2M BOER GOATS WILD RITA"
"buck-062","Black dapple","Fullblood","","(10901184) 2CCB BBWF 4JJ BACK TO THE FUTURE","(10933134) 2CCB CASPER&#39;S MISS SPOTTED ACE"
